0111;Growing of cereals (except rice), leguminous crops and oil seeds
0112;Growing of rice
0113;Growing of vegetables and melons, roots and tubers
0114;Growing of sugar cane
0116;Growing of fibre crops
0311;Marine fishing
0510;Mining of hard coal
1010;Processing and preserving of meat
1071;Manufacture of bakery products
1811;Printing
2011;Manufacture of basic chemicals
4610;Wholesale on a fee or contract basis
4711;Retail sale in non-specialized stores with food, beverages or tobacco predominating
5510;Short term accommodation activities
5610;Restaurants and mobile food service activities
6201;Computer programming activities
7020;Management consultancy activities
8610;Hospital activities
9311;Operation of sports facilities
9602;Hairdressing and other beauty treatment
